categorie,fichier,intitule
PIB et grands agrégats économiques,T_1101_1103,1.101-103 - Le produit intérieur brut et ses composantes
PIB et grands agrégats économiques,T_1104,1.104 - Contributions à l’évolution du produit intérieur brut aux prix de l'année précédente (En points de PIB)
PIB et grands agrégats économiques,T_1105,1.105 - Produit intérieur brut : les trois approches à prix courants
PIB et grands agrégats économiques,T_1106,1.106 - Valeur ajoutée brute par secteur institutionnel à prix courants
PIB et grands agrégats économiques,T_1107,1.107 - Partage de la valeur ajoutée brute à prix courants
PIB et grands agrégats économiques,T_1108,1.108 - Emploi intérieur total par secteur institutionnel en nombre de personnes
PIB et grands agrégats économiques,T_1109,1.109 - Emploi intérieur total par secteur institutionnel en nombre d'équivalents temps plein
PIB et grands agrégats économiques,T_1110,1.110 - Capital fixe brut par secteur institutionnel à prix courants
PIB et grands agrégats économiques,T_1111,1.111 - Capital fixe net par secteur institutionnel à prix courants
PIB et grands agrégats économiques,T_1112,1.112 - Consommation de capital fixe par secteur institutionnel à prix courants
PIB et grands agrégats économiques,T_1113,1.113 - Capacités (+) ou besoins (-) de financement des secteurs institutionnels
PIB et grands agrégats économiques,T_1114,1.114 - Grands agrégats et opérations avec le Reste du monde
PIB et grands agrégats économiques,T_1115,1.115 - Produit intérieur brut et revenu national brut par habitant
PIB et grands agrégats économiques,population_menages,Population et ménages
Ressources et emplois - Production et consommation intermédiaire,T_5101_5103,5.101-103 - Production par produit (38 postes)
Ressources et emplois - Production et consommation intermédiaire,T_5104_5106,5.104-106 - Consommation intermédiaire par produit (38 postes)
Ressources et emplois - Production et consommation intermédiaire,T_5101d_5103d,5.101d-103d - Production par produit (88 postes)
Ressources et emplois - Production et consommation intermédiaire,T_5104d_5106d,5.104d-106d - Consommation intermédiaire par produit (88 postes)
Ressources et emplois - Consommation des APU et ISBLSM,T_5207_5209,5.207-209 - Dépense de consommation individuelle des administrations publiques par produit
Ressources et emplois - Consommation des APU et ISBLSM,T_5210_5212,5.210-212 - Dépense de consommation collective des administrations publiques par produit
Ressources et emplois - Consommation des APU et ISBLSM,T_5213_5215,5.213-215 - Dépense de consommation finale des institutions sans but lucratif au service des ménages par produit
Ressources et emplois - FBCF et variation de stocks,T_5301_5303,5.301-303 - Formation brute de capital fixe par produit (38 postes)
Ressources et emplois - FBCF et variation de stocks,T_5304,5.304 - Variation des stocks par produit (38 postes)
Ressources et emplois - FBCF et variation de stocks,T_5301d_5303d,5.301d-303d - Formation brute de capital fixe par produit (88 postes)
Consommation des ménages,T_5204_5206,5.204-206 - Consommation finale effective des ménages par produit (38 postes)
Consommation des ménages,T_5204d_5206d,5.204d-206d - Consommation finale effective des ménages par produit (88 postes)
Consommation des ménages,T_CONSO_EFF_PRODUITS,Consommation finale effective par produit (niveaux diffusables les plus fins)
Consommation des ménages,T_2201_2202,2.201-202 - Consommation finale effective par fonction
Consommation des ménages,T_CONSO_EFF_FONCTION,Consommation finale effective par fonction (niveaux diffusables les plus fins)
Consommation des ménages,T_2203_2204,2.203-204 - Consommation finale effective par durabilité
Consommation des ménages,T_CONSO_EFF_DURABILITE,Consommation finale effective par durabilité (niveaux diffusables les plus fins)
Consommation des ménages,T_CONSO_EFF_PRODUITS_MENAGES,Dépenses de consommation finale des ménages (niveaux diffusables les plus fins)
Consommation des ménages,T_CONSO_EFF_PRODUITS_ISBLSM,Dépenses de consommation finale des ISBLSM (niveaux diffusables les plus fins)
Consommation des ménages,T_CONSO_EFF_PRODUITS_APU,Dépenses de consommation finale des administrations publiques (niveaux diffusables les plus fins)
Consommation des ménages,T_DEP_PRE_ENG,Dépense de consommation finale pré-engagée détaillée des ménages (niveaux diffusables les plus fins)
Consommation des ménages,T_5201_5203,5.201-203 - Dépense de consommation finale des ménages par produit (38 postes)
Consommation des ménages,T_5201d_5203d,5.201d-203d - Dépense de consommation finale des ménages par produit (88 postes)
Échanges extérieurs,T_5401_5403,5.401-403 - Exportations de biens et de services par produit (38 postes)
Échanges extérieurs,T_5404_5406,5.404-406 - Importations de biens et de services par produit (38 postes)
Échanges extérieurs,T_5407,5.407 - Solde extérieur de biens et de services par produit (38 postes)
Échanges extérieurs,T_5408,5.408 - Taux de couverture par produit (38 postes)
Échanges extérieurs,T_5401d_5403d,5.401d-403d - Exportations de biens et de services par produit (88 postes)
Échanges extérieurs,T_5404d_5406d,5.404d-406d - Importations de biens et de services par produit (88 postes)
Activité des branches - Production et consommation intermédiaire,T_6101_6103,6.101-103 - Production par branche (38 postes)
Activité des branches - Production et consommation intermédiaire,T_6104_6106,6.104-106 - Consommation intermédiaire par branche (38 postes)
Activité des branches - Production et consommation intermédiaire,T_6101d_6103d,6.101d-103d - Production par branche (88 postes)
Activité des branches - Production et consommation intermédiaire,T_6104d_6106d,6.104d-106d - Consommation intermédiaire par branche (88 postes)
Activité des branches - Valeur ajoutée et rémunération,T_6201_6203,6.201-203 - Valeur ajoutée brute par branche (38 postes)
Activité des branches - Valeur ajoutée et rémunération,T_6204,6.204 - Rémunération des salariés par branche (38 postes)
Activité des branches - Valeur ajoutée et rémunération,T_6205,6.205 - Salaires et traitements bruts des salariés par branche (38 postes)
Activité des branches - Valeur ajoutée et rémunération,T_6206,6.206 - Excédent brut d'exploitation par branche (38 postes)
Activité des branches - Valeur ajoutée et rémunération,T_6207,6.207 - Excédent brut d'exploitation et revenu mixte brut par branche (38 postes)
Activité des branches - Valeur ajoutée et rémunération,T_6201d_6203d,6.201d-203d - Valeur ajoutée brute par branche (88 postes)
Activité des branches - Valeur ajoutée et rémunération,T_6204d,6.204d - Rémunération des salariés par branche (88 postes)
Activité des branches - Valeur ajoutée et rémunération,T_6205d,6.205d - Salaires et traitements bruts des salariés par branche (88 postes)
Activité des branches - Valeur ajoutée et rémunération,T_6206d,6.206d - Excédent brut d'exploitation par branche (88 postes)
Activité des branches - Valeur ajoutée et rémunération,T_6207d,6.207d - Excédent brut d'exploitation et revenu mixte brut par branche (88 postes)
Activité des branches - Emploi,T_6208,6.208 - Emploi intérieur total par branche en nombre de personnes (38 postes)
Activité des branches - Emploi,T_6209,6.209 - Emploi intérieur total par branche en nombre d'équivalents temps plein (38 postes)
Activité des branches - Emploi,T_6210,6.210 - Emploi intérieur salarié par branche en nombre de personnes (38 postes)
Activité des branches - Emploi,T_6211,6.211 - Emploi intérieur salarié par branche en nombre d'équivalents temps plein (38 postes)
Activité des branches - Emploi,T_6212,6.212 - Durée annuelle du travail des salariés par branche (38 postes)
Activité des branches - Emploi,T_6213,6.213 - Volume total d'heures travaillées par branche (38 postes)
Activité des branches - Emploi,T_6214,6.214 - Volume total d'heures travaillées des salariés par branche (38 postes)
Activité des branches - Emploi,T_6215,6.215 - Productivité horaire du travail par branche (38 postes)
Activité des branches - Emploi,T_6208d,6.208d - Emploi intérieur total par branche en nombre de personnes (88 postes)
Activité des branches - Emploi,T_6209d,6.209d - Emploi intérieur total par branche en nombre d'équivalents temps plein (88 postes)
Activité des branches - Emploi,T_6210d,6.210d - Emploi intérieur salarié par branche en nombre de personnes (88 postes)
Activité des branches - Emploi,T_6211d,6.211d - Emploi intérieur salarié par branche en nombre d'équivalents temps plein (88 postes)
"Activité des branches - FBCF, capital fixe et consommation",T_6301_6303,6.301-303 - Formation brute de capital fixe de l'ensemble des secteurs institutionnels par branche (38 postes)
"Activité des branches - FBCF, capital fixe et consommation",T_6461_6462,6.401-460 - Capital fixe brut et net par actif et par branche
Secteurs institutionnels - Entreprises non financières,PRINCIPAUX-AGREGATS-ENF,Variation annuelle en % des principales opérations des comptes des sociétés et entreprises individuelles non financières
Secteurs institutionnels - Entreprises non financières,T_4101,4.101 - Principaux ratios des comptes des sociétés non financières (S11) et des entreprises individuelles non financières (S14AA)
Secteurs institutionnels - Entreprises non financières,T_4102,4.102 - Éléments du compte d'exploitation des sociétés et des entreprises individuelles non financières (S11 et S14AA)
Secteurs institutionnels - Entreprises non financières,T_7101,7.101 - Compte des sociétés non financières (S11)
Secteurs institutionnels - Entreprises non financières,T_7102,7.102 - Compte des entreprises individuelles non financières (S14AA)
Secteurs institutionnels - Entreprises non financières,T_7103,7.103 - Compte des entreprises non financières (S11 et S14AA)
Secteurs institutionnels - Sociétés financières,T_7201,7.201 - Compte des sociétés financières (S12)
Secteurs institutionnels - Sociétés financières,T_7202,7.202 - Compte des intermédiaires financiers hors assurances et fonds de pension (S12K64) (En milliards d'euros)
Secteurs institutionnels - Sociétés financières,T_7203,7.203 - Compte des sociétés d'assurance et fonds de pension (S12K65) (En milliards d'euros)
Secteurs institutionnels - Sociétés financières,T_7204,7.204 - Compte des auxiliaires financiers (S12K66) (En milliards d'euros)
Secteurs institutionnels - Sociétés financières,T_7205,7.205 - Intérêts et services d’intermédiations indirectement mesurés (SIFIM) (En milliards d'euros)
Secteurs institutionnels - Administrations publiques,T_7301,7.301 - Compte des administrations publiques (S13)
Secteurs institutionnels - Administrations publiques,T_7302,7.302 - Compte de l'administration publique centrale (S1311)
Secteurs institutionnels - Administrations publiques,T_7303,7.303 - Compte de l'Etat (S13111)
Secteurs institutionnels - Administrations publiques,T_7304,7.304 - Compte des organismes divers d'administration centrale (S13112)
Secteurs institutionnels - Administrations publiques,T_7305,7.305 - Compte des administrations publiques locales (S1313)
Secteurs institutionnels - Administrations publiques,T_7306,7.306 - Compte des administrations de sécurité sociale (S1314)
Secteurs institutionnels - Ménages,T_7401,7.401 - Compte des ménages (S14)
Secteurs institutionnels - ISBLSM,T_7501,7.501 - Compte des institutions sans but lucratif au service des ménages (S15)
Secteurs institutionnels - Reste du monde,T_7601,7.601 - Compte du reste du monde (S2)
Finances publiques - Dette et déficit (Maastricht),t_3101,- Dette des administrations publiques (S13) au sens de Maastricht et sa répartition par sous-secteur (En milliards d'euros et %)
