id,titre,theme,mots_cles,producteur,type_prod,frequence,licence,modifie,lignes,description
espaces_verts_supplementaires,M² d'espaces verts supplémentaires,Environnement,"DEVE,espaces verts,végétalisation",Direction des Espaces Verts et de l'Environnement - Ville de Paris,,,Licence Ouverte (Etalab),2026-09-04,64,"Les espaces verts supplémentaires (par projet) Cet indicateur, qui alimente l’indicateur d’espace public végétalisé, est lié à l’objectif de créer 30 hectares d’espaces verts supplémentaires au cours de la mandature. Les surfaces sont exprimées en hectares et sont comptabilisées depuis août 2020. Elles intègrent les créations de parcs, jardins, les renaturations d’espaces verts existants, les extensions et les ouvertures au public d’espaces verts existants, y compris les tronçons de la Petite Ceinture."
budget-participatif_operations-projets-gagnants-realisations,Budget Participatif - Les opérations des projets lauréats jusqu’à leurs réalisations,Citoyenneté,"budget participatif,Démocratie participative,Ville de Paris,intérêt général,plateforme citoyenne Paris,Décider pour Paris,proposer projets Paris,idées citoyennes Paris","Direction de la Démocratie, des Citoyen.ne.s et des Territoires - Ville de Paris",,,Open Database License (ODbL),2026-09-04,5504,"Cette table de données présente les opérations des projets lauréats du Budget Participatif , de leur planification jusqu’à leur réalisation. Depuis 2014, le Budget Participatif est un dispositif de participation citoyenne qui invite les Parisiennes et Parisiens à proposer à la Ville de Paris des idées d'intérêt général. Il permet de décider directement d’une partie des investissements qui seront réalisés : ce sont les habitantes et habitants (à partir de 7 ans et sans condition de nationalité) qui choisissent par leur vote les projets qui seront mis en œuvre. Pour plus d'informations sur ce je"
dans-ma-rue,Dans Ma Rue - Anomalies signalées,"Equipements, Services, Social","propreté,signalement,graffiti,DMR,encombrants,Mobilier urbain,espace public,2 roues motorisés,vélo,Dans Ma Rue",Ville de Paris,,,Open Database License (ODbL),2026-09-04,1517820,"Anomalies signalées par les contributeurs-utilisateurs de l'application Dans Ma Rue sur l'année précédente et sur l'année en cours (à J - 3mois) . Depuis 2012 la ville de Paris a lancé une application mobile de signalements des anomalies sur l'espace public appelée "" Dans Ma Rue"". Plus d'informations Signaleurs « Dans ma rue » : agir sur l’espace public Dans ce jeu de données vous retrouvez l 'ensemble des anomalies signalées de l'année précédente et en cours à J - 3 mois. Les données antérieures sont disponibles dans le jeu de données historique : Dans Ma Rue - Historique - Anomalies signalée"
stationnement-en-ouvrage,Stationnement en ouvrage,Mobilité et Espace Public,"stationnement,parking,concessions,parc,DVD,BNLS,PAN,entrées parking,parcs,2 roues motorisés,moto,auto,véhicule électrique,vélo,PMR",Direction de la Voirie et des Déplacements - Ville de Paris,,,Open Database License (ODbL),2026-09-04,125,"Ce jeu de données liste les parcs de stationnements concédés de la Ville de Paris, leurs entrées, l'offre tarifaire ainsi que les types de véhicules accueillis. Cette donnée géographique géolocalise l'ensemble des parcs de stationnement sur leur entrée principale et décrit l'offre de stationnement tel que définie par schema.data.gouv.fr reposant sur la loi d’orientation des mobilités (LOM). La LOM désigne les collectivités territoriales comme étant responsables de la mise à disposition des données sur la plateforme transport.data.gouv.fr, qui constitue le Point d’Accès National des données de "
les-arbres,Arbres,Environnement,"Arbres,Espacesverts,DEVE",Direction des Espaces Verts et de l'Environnement - Ville de Paris,,,Open Database License (ODbL),2026-09-04,219360,"Cette couche géo-localise une partie des arbres relevant de la Ville de Paris. Cela inclut les arbres d’alignement (dans les rues), ceux des espaces verts et des équipements publics municipaux. Elle n’inclut pas les bosquets, les ensembles forestiers, les arbres du domaine privé etc. Attention : cette donnée n’est pas mise à jour en temps réel et de grands décalages peuvent apparaître (particulièrement dans les espaces verts) et son périmètre ne couvre ni l’ensemble de l’action de la Ville, ni les arbres privés. Sur cette couche de données sont renseignés la mensuration, la classification des "
arbres-abattus-pour-raison-sanitaires-et-essence-de-remplacement,Arbres abattus pour raisons sanitaires et essence de remplacement,Environnement,"arbres,DEVE",Direction des Espaces Verts et de l'Environnement - Ville de Paris,,,Open Database License (ODbL),2026-09-04,421,"Jeu de données géographique présentant les arbres récemment abattus pour des raisons de sécurité. Il est précisé pour chaque arbre la raison de cette décision (pathologie, défaut mécanique, etc.) ainsi que l’essence de l’arbre prévu en remplacement. Ce jeu de données ne prend en compte que les arbres abattus pour raison sanitaire jusqu'à leur replantation ou jusqu'à 6 mois après leur abattage. La donnée a été construite à partir des tournées de surveillance réalisées depuis le printemps 2021. Un arbre doit être abattu lorsqu’il présente un risque de chute ou de contamination d’autres arbres. A"
arbres-plantes-par-projet,Arbres plantés,Environnement,"arbres,DEVE",Direction des Espaces Verts et de l'Environnement - Ville de Paris,,,Open Database License (ODbL),2026-09-04,1069,"Jeu de données géographique présentant l’ensemble des projets des plantations d’arbres (alignement et peuplement forestier) Ce jeu de données est issu des projets de plantation d’arbres. Cette donnée n’est pas à jour en temps réel. En effet, le nombre important d'acteurs plantant des arbres à Paris allonge le délai d’intégration de ces nouvelles plantations dans les systèmes d’informations."
dechets-menagers-pavda,Déchets ménagers - Points d'apport volontaire (PAVDA) - Abri-bac Déchets Alimentaires,Environnement,"Ordures ménagères,Point de collecte,Tri,Equipements,DPE,PAVDA,déchets",Direction de la Propreté et de l'Eau - Ville de Paris,,DAILY,Licence Ouverte (Etalab),2026-09-04,447,"Localisation des abri-bacs en apport volontaire destinés aux déchets alimentaires. Les abri-bacs en apport volontaire destinés aux déchets alimentaires complètent l'offre de tri des déchets alimentaires fournie également par les stations Trilib' (voir jeu de données associés). Depuis l'instauration de l'obligation du tri à la source des déchets alimentaires depuis le 1e Janvier 2024, ces mobiliers permettent aux parisiens de trier leurs déchets alimentaires. Que met-on dans les abri-bacs en apport volontaire destinés aux déchets alimentaires ? TOUS les déchets alimentaires : restes et préparat"
fermetures-voirie,Fermetures de voirie programmées,Mobilité et Espace Public,"Fermetures,périphérique,voies sur berges,bretelles,tunnels",Direction de la Voirie et des Déplacements - Ville de Paris,,,Open Database License (ODbL),2026-09-04,128,"Fermetures de voirie programmées Cette donnée représente les fermetures de voirie (bretelles du périphérique, périphérique, tunnels, voies sur berges) programmées sur deux mois. La mise à jour est quotidienne. Producteur : DVD – Délégation aux territoires – Section des tunnels, des berges et du périphérique."
autorisations-durbanisme-h,Autorisations d'Urbanisme - Historique,Urbanisme et Logements,"urbanisme,permis,construire,declaration,travaux,amenager,Dossier,Demande,DU",Direction de l'Urbanisme - Ville de Paris,,,Open Database License (ODbL),2026-09-04,384140,"Jeu de données géolocalisées exposant l'historique des autorisations d'urbanismes La Direction de l'Urbanisme de la Ville de Paris instruit et délivre les autorisations d'urbanisme indispensables aux entreprises ou aux particuliers. Elle contrôle leur mise en œuvre et verbalise les travaux sans autorisation ou non conformes aux autorisations délivrées. Elle délivre aussi les autorisations relatives aux enseignes, à la publicité, aux étalages et aux terrasses. Elle recouvre les droits de voirie et taxes d'urbanisme"
